,CustomerID
0,100256
1,101038
2,100710
3,100668
4,101199
5,101103
6,101426
7,100724
8,100484
9,100315
10,102296
11,100385
12,101026
13,100307
14,101886
15,100094
16,100729
17,100229
18,102084
19,101144
20,101749
21,101388
22,100049
23,101176
24,101297
25,100649
26,100692
27,101257
28,102143
29,101274
30,101135
31,100154
32,100673
33,100327
34,100672
35,101943
36,102325
37,100053
38,101394
39,100221
40,100999
41,100896
42,101656
43,100371
44,101431
45,100640
46,102260
47,100707
48,100546
49,102335
50,102238
51,101137
52,100802
53,100810
54,100818
55,101624
56,100293
57,100564
58,100449
59,100166
60,101548
61,101116
62,101737
63,100732
64,100360
65,100070
66,100044
67,101364
68,100153
69,100114
70,100998
71,100209
72,100300
73,101492
74,100443
75,100882
76,100268
77,101965
78,100761
79,101334
80,100917
81,101859
82,101995
83,100911
84,100249
85,101474
86,101416
87,101408
88,100205
89,100961
90,100543
91,100696
92,101324
93,102088
94,100052
95,102040
96,101767
97,100760
98,101047
99,101080
100,101311
101,101095
102,102278
103,100084
104,102357
105,101281
106,100559
107,100283
108,101006
109,100169
110,100592
111,100248
112,100103
113,101725
114,100777
115,101735
116,101294
117,101277
118,100748
119,102308
120,102020
121,100782
122,102043
123,102350
124,101245
125,102089
126,101099
127,100858
128,101526
129,102241
130,101215
131,100626
132,100123
133,101061
134,100611
135,100304
136,100742
137,102230
138,101875
139,100066
140,101476
141,101028
142,102297
143,100910
144,100348
145,100877
146,102281
147,101596
148,102261
149,100616
150,101959
151,100841
152,100002
153,100864
154,100918
155,101192
156,100796
157,100097
158,100108
159,102233
160,100189
161,101042
162,101174
163,100062
164,100266
165,101039
166,100906
167,100017
168,100278
169,101078
170,101053
171,101779
172,100876
173,100165
174,101218
175,101770
176,101001
177,100526
178,101329
179,100735
180,100373
181,100005
182,101444
183,100375
184,101901
185,100083
186,100489
187,100839
188,100791
189,101997
190,101156
191,100276
192,100164
193,101151
194,100133
195,100941
196,101048
197,100891
198,101195
199,101055
200,100566
201,100305
202,101663
203,101100
204,100755
205,102184
206,100427
207,101539
208,101212
209,100651
210,100765
211,100702
212,102134
213,101223
214,101673
215,101318
216,100310
217,100903
218,100925
219,101948
220,100764
221,101290
222,101700
223,101305
224,100958
225,101588
226,100964
227,101397
228,101183
229,101512
230,100206
231,100878
232,100326
233,100033
234,101315
235,100642
236,100365
237,100079
238,100161
239,102152
240,100645
241,102388
242,102288
243,100898
244,101396
245,100613
246,100867
247,101084
248,100650
249,100834
250,101771
251,101146
252,100379
253,101538
254,100459
255,101025
256,100267
257,101414
258,101902
259,100186
260,100368
261,101683
262,102182
263,102314
264,100852
265,100719
266,100624
267,101692
268,100262
269,100835
270,100363
271,101996
272,100038
273,102060
274,101440
275,101945
276,102029
277,101652
278,101280
279,101299
280,100450
281,102136
282,100928
283,101239
284,101625
285,101559
286,101143
287,101291
288,101703
289,102161
290,101319
291,101323
292,101251
293,100018
294,101149
295,101693
296,100778
297,102030
298,102301
299,101347
300,100635
301,100577
302,101502
303,102041
304,101709
305,101008
306,100779
307,101002
308,101391
309,101019
310,101923
311,100744
312,100439
313,100369
314,101332
315,100837
316,100425
317,100895
318,100954
319,100955
320,101357
321,100322
322,101893
323,101810
324,100745
325,100513
326,100078
327,101479
328,100246
329,101335
330,100636
331,100438
332,102122
333,100309
334,102085
335,102307
336,101931
337,101441
338,101340
339,101619
340,101932
341,100016
342,100428
343,100632
344,101162
345,100709
346,102024
347,101317
348,101041
349,100362
350,101452
351,101307
352,100586
353,100389
354,101070
355,100007
356,101620
357,100759
358,100681
359,102205
360,100889
361,100275
362,101175
363,101553
364,101050
365,101109
366,101371
367,101544
368,101443
369,101194
370,100843
371,100292
372,100394
373,100689
374,100469
375,102352
376,100872
377,102212
378,100885
379,100111
380,101221
381,101728
382,101777
383,101309
384,101184
385,100646
386,101405
387,100152
388,101671
389,101087
390,102236
391,100311
392,100144
393,102048
394,100550
395,102373
396,100552
397,102037
398,102014
399,101458
400,102362
401,100883
402,100252
403,101410
404,102392
405,101375
406,102358
407,100915
408,102207
409,112656
410,100191
411,100993
412,102147
413,100022
414,101473
415,101638
416,100031
417,101510
418,101769
419,101593
420,100524
421,100771
422,101366
423,100699
424,101630
425,100474
426,100727
427,102196
428,100485
429,101713
430,102283
431,101091
432,101648
433,101477
434,100627
435,101082
436,101033
437,100208
438,100505
439,100136
440,100331
441,100346
442,101566
443,101201
444,102008
445,100414
446,100059
447,102148
448,100378
449,100333
450,100302
451,101279
452,101606
453,101716
454,100345
455,100285
456,101757
457,100488
458,100273
459,101404
460,100196
461,100407
462,101493
463,101258
464,101205
465,100713
466,100155
467,102372
468,100316
469,100226
470,100025
471,100572
472,101545
473,100836
474,100303
475,100353
476,102120
477,101200
478,102223
479,101067
480,100176
481,102151
482,101282
483,100661
484,100863
485,100569
486,101222
487,100923
488,101325
489,100528
490,102118
491,100538
492,100486
493,101331
494,100232
495,101697
496,100980
497,102389
498,102201
499,100122
500,101106
501,101018
502,100426
503,102225
504,101301
505,100158
506,101350
